N�mero;Fuero;Nombre;Tipo de ente;Direcci�n;Localidad;Departamento judicial;Tel�fono;Latitud;Longitud
1818;PENAL;UNIDAD FUNCIONAL DEFENSORIA PENAL JUVENIL 3;DEFENSORIA;HIPOLITO YRIGOYEN 8308 1� PISO;LOMAS DE ZAMORA;LOMAS DE ZAMORA;42441959;-34.7510101;-58.40057982
1819;PENAL;UNIDAD FUNCIONAL DEFENSORIA PENAL JUVENIL 4;DEFENSORIA;HIPOLITO YRIGOYEN 8308 1� PISO;LOMAS DE ZAMORA;LOMAS DE ZAMORA;42436543;-34.7510101;-58.40057982
1820;PENAL;UNIDAD FUNCIONAL DEFENSORIA PENAL JUVENIL 5;DEFENSORIA;HIPOLITO YRIGOYEN 8308 1� PISO;LOMAS DE ZAMORA;LOMAS DE ZAMORA;42441959;-34.7510101;-58.40057982
1821;PENAL;UNIDAD FUNCIONAL DEFENSORIA PENAL JUVENIL 6;DEFENSORIA;HIPOLITO YRIGOYEN 8308 1� PISO;LOMAS DE ZAMORA;LOMAS DE ZAMORA;42436543;-34.7510101;-58.40057982
1822;PENAL;UNIDAD FUNCIONAL DEFENSORIA PENAL JUVENIL 7;DEFENSORIA;HIPOLITO YRIGOYEN 8308 1� PISO;LOMAS DE ZAMORA;LOMAS DE ZAMORA;42436543;-34.7510101;-58.40057982
710;PAZ;JUZGADO DE PAZ;JUZGADO;RIVADAVIA 164;MONTE GRANDE;LOMAS DE ZAMORA;42811457;-34.8131693;-58.46363742
1226;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO - ESTEBAN ECHEVERRIA 1;FISCALIA;GUEMES 429;MONTE GRANDE;LOMAS DE ZAMORA;43673008;-34.824241;-58.477097
1227;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO - ESTEBAN ECHEVERRIA 2;FISCALIA;GUEMES 429;MONTE GRANDE;LOMAS DE ZAMORA;43673010;-34.824241;-58.477097
1764;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DEFENSORIA;DEFENSORIA;GUEMES 429;MONTE GRANDE;LOMAS DE ZAMORA;43673008;-34.824241;-58.477097
63;PENAL;AYUDANTIA FISCAL - BALCARCE;AYUDANTIA FISCAL;CALLE 32 ENTRE 27 Y 29;BALCARCE;MAR DEL PLATA;;-37.8569267;-58.25403822
447;FAMILIA;JUZGADO DE FAMILIA 2;JUZGADO;LAS HERAS 3063;FLORENCIO VARELA;QUILMES;42557824;-34.807914;-58.283357
1220;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO;FISCALIA;AVENIDA SUIPACHA 937;BALCARCE;MAR DEL PLATA;422516;-37.8574611;-58.25466762
349;PENAL;FISCALIA DESCENTRALIZADA - GENERAL PUEYRREDON;FISCALIA;CALLE 14 n� 937;MIRAMAR;MAR DEL PLATA;02291-433975;-38.2725704;-57.8324586
240;PENAL;CASA DE JUSTICIA;CASA DE JUSTICIA;HIPOLITO YRIGOYEN 50;CORONEL VIDAL;MAR DEL PLATA;432122;-37.4484553;-57.72966162
674;PAZ;JUZGADO DE PAZ;JUZGADO;GENERAL PAZ 516;CORONEL VIDAL;MAR DEL PLATA;432441;-37.445311;-57.72908082
96;PENAL;AYUDANTIA FISCAL - GENERAL ALVARADO;AYUDANTIA FISCAL;CALLE 17 1630;GENERAL ALVARADO;MAR DEL PLATA;;-38.2662617;-57.84018812
239;PENAL;CASA DE JUSTICIA;CASA DE JUSTICIA;SAN LUIS 4107;GENERAL PUEYRREDON;MAR DEL PLATA;4915068;-38.018099;-57.563382
116;PENAL;AYUDANTIA FISCAL - MAR CHIQUITA;AYUDANTIA FISCAL;CARLOS PELLEGRINI 476 - CAMET NORTE;MAR CHIQUITA;MAR DEL PLATA;4693150;-37.820691;-57.497041
22;CIVIL Y COMERCIAL;ASESORIA DE INCAPACES 1 - CIVIL;ASESORIA DE INCAPACES;GASCON 1382;MAR DEL PLATA;MAR DEL PLATA;4511939 int: 225;-38.0121857;-57.54000342
41;CIVIL Y COMERCIAL;ASESORIA DE INCAPACES 2 - CIVIL;ASESORIA DE INCAPACES;GASCON 1382;MAR DEL PLATA;MAR DEL PLATA;4511939 int: 223;-38.0121857;-57.54000342
52;PENAL;ASESORIA DE INCAPACES 3 - MENORES;ASESORIA DE INCAPACES;GASCON 1382;MAR DEL PLATA;MAR DEL PLATA;4511939 int: 235;-38.0121857;-57.54000342
169;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 1;CAMARA;FALUCHO Y CORRIENTES;MAR DEL PLATA;MAR DEL PLATA;4918810 int: 59623;-38.0066412;-57.54859962
177;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 2;CAMARA;FALUCHO Y CORRIENTES;MAR DEL PLATA;MAR DEL PLATA;4918810 int: 59619;-38.0066412;-57.54859962
182;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 3;CAMARA;FALUCHO Y CORRIENTES;MAR DEL PLATA;MAR DEL PLATA;4918810 int: 59614;-38.0066412;-57.54859962
205;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 1;CAMARA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4958154;-38.0071257;-57.54752142
211;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 2;CAMARA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4957057;-38.0071257;-57.54752142
214;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 3;CAMARA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4932812;-38.0071257;-57.54752142
220;CONTENCIOSO ADMINISTRATIVO;CAMRA DE APELACION EN LO CONTENCIOSO ADMINISTRATIVO;CAMARA;GASCON 1749;MAR DEL PLATA;MAR DEL PLATA;4920859 int: 58932;-38.0101806;-57.54369552
269;PENAL;CENTRO DE ASISTENCIA A LA VICTIMA Y COORDINACION GENERAL DE MEDIACION PENAL;CENTRO DE ASISTENCIA A LA VICTIMA;LA RIOJA 2327 PISO 1;MAR DEL PLATA;MAR DEL PLATA;4953947;-38.0025202;-57.55525322
280;CIVIL Y COMERCIAL;CURADURIA OFICIAL;CURADURIA OFICIAL;RAWSON 2462;MAR DEL PLATA;MAR DEL PLATA;4948681;-38.0082273;-57.55217022
313;PENAL;DEFENSORIA GENERAL;DEFENSORIA;GASCON 2099;MAR DEL PLATA;MAR DEL PLATA;4931237 int: 120/121;-38.0086765;-57.54660432
321;PENAL;DEFENSORIA GENERAL - ADJUNTOS;DEFENSORIA;GASCON 2099;MAR DEL PLATA;MAR DEL PLATA;4931237 int: 120/121;-38.0086765;-57.54660432
350;PENAL;FISCALIA FUERO PENAL JUVENIL;FISCALIA;LA RIOJA 2327;MAR DEL PLATA;MAR DEL PLATA;4953947;-38.0025202;-57.55525322
362;PENAL;FISCALIA GENERAL;FISCALIA;ALMIRANTE BROWN 1222;MAR DEL PLATA;MAR DEL PLATA;4519752;-38.0112955;-57.53927052
371;PENAL;FISCALIA GENERAL - ADJUNTOS;FISCALIA;ALMIRANTE BROWN 1222;MAR DEL PLATA;MAR DEL PLATA;4519752;-38.0112955;-57.53927052
393;PENAL;JUZGADO DE EJECUCION 1;JUZGADO;ALMIRANTE BROWN 2046 PISO 7;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57312 /57462;-38.0071257;-57.54752142
402;PENAL;JUZGADO DE EJECUCION 2;JUZGADO;ALMIRANTE BROWN 2046 PISO 4;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57278-57366;-38.0071257;-57.54752142
422;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;SAN MARTIN 3544;MAR DEL PLATA;MAR DEL PLATA;4737585 int: 105;-37.9946411;-57.55663462
443;FAMILIA;JUZGADO DE FAMILIA 2;JUZGADO;SAN MARTIN 3544;MAR DEL PLATA;MAR DEL PLATA;4737585 int: 102;-37.9946411;-57.55663462
461;FAMILIA;JUZGADO DE FAMILIA 3;JUZGADO;SAN MARTIN 3544;MAR DEL PLATA;MAR DEL PLATA;4737585;-37.9946411;-57.55663462
469;FAMILIA;JUZGADO DE FAMILIA 4;JUZGADO;SAN MARTIN 3544;MAR DEL PLATA;MAR DEL PLATA;4737585;-37.9946411;-57.55663462
477;FAMILIA;JUZGADO DE FAMILIA 5;JUZGADO;SAN MARTIN 3544;MAR DEL PLATA;MAR DEL PLATA;4737585 int: 59847;-37.9946411;-57.55663462
484;FAMILIA;JUZGADO DE FAMILIA 6;JUZGADO;SAN MARTIN 3544;MAR DEL PLATA;MAR DEL PLATA;4737585;-37.9946411;-57.55663462
513;PENAL;JUZGADO DE GARANTIAS 1;JUZGADO;ALMIRANTE BROWN 2046 PISO 3;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57266 /57448;-38.0071257;-57.54752142
534;PENAL;JUZGADO DE GARANTIAS 2;JUZGADO;ALMIRANTE BROWN 2046 PISO 3;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57340 /57270;-38.0071257;-57.54752142
550;PENAL;JUZGADO DE GARANTIAS 3;JUZGADO;ALMIRANTE BROWN 2046 PISO 3;MAR DEL PLATA;MAR DEL PLATA;4957019;-38.0071257;-57.54752142
560;PENAL;JUZGADO DE GARANTIAS 4;JUZGADO;ALMIRANTE BROWN 2046 PISO 4;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57274-57333;-38.0071257;-57.54752142
567;PENAL;JUZGADO DE GARANTIAS 5;JUZGADO;ALMIRANTE BROWN 2046 PISO 4;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57281-57257-57418;-38.0071257;-57.54752142
573;PENAL;JUZGADO DE GARANTIAS 6;JUZGADO;ALMIRANTE BROWN 2046 PISO 3;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57257/57378/57441/57442;-38.0071257;-57.54752142
592;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 1;JUZGADO;LA RIOJA 2130 PISO 2;MAR DEL PLATA;MAR DEL PLATA;4912581;-38.0008216;-57.55374192
604;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 2;JUZGADO;LA RIOJA 2130 PISO 4;MAR DEL PLATA;MAR DEL PLATA;4913072 int: 59705;-38.0008216;-57.55374192
751;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 1;JUZGADO;ALMIRANTE BROWN 2257;MAR DEL PLATA;MAR DEL PLATA;4911751;-38.0060904;-57.5473598
757;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 10;JUZGADO;ALMIRANTE BROWN 1771;MAR DEL PLATA;MAR DEL PLATA;4957043;-38.0084968;-57.54476772
761;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 11;JUZGADO;ALMIRANTE BROWN 1771;MAR DEL PLATA;MAR DEL PLATA;4954157 int: 59126/59128/59133;-38.0084968;-57.54476772
763;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 12;JUZGADO;ALMIRANTE BROWN 1771 PISO 2;MAR DEL PLATA;MAR DEL PLATA;4957061;-38.0084968;-57.54476772
765;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 13;JUZGADO;ALMIRANTE BROWN 1771;MAR DEL PLATA;MAR DEL PLATA;4954157 int: 59110/59117;-38.0084968;-57.54476772
766;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 14;JUZGADO;CORRIENTES 2395;MAR DEL PLATA;MAR DEL PLATA;4954539 int: 59506-59508;-38.0064941;-57.54860421
767;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 15;JUZGADO;ALMIRANTE BROWN 1762;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 59164/59139;-38.0085574;-57.54464712
768;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 16;JUZGADO;ALMIRANTE BROWN 2241 PISO 8;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 58243;-38.0061401;-57.54943722
782;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 2;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4911751;-38.0061401;-57.54943722
796;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 3;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 58170/58171;-38.0061401;-57.54943722
808;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 4;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4910594;-38.0061401;-57.54943722
815;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 5;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4911154;-38.0061401;-57.54943722
822;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 6;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4911154;-38.0061401;-57.54943722
828;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 7;JUZGADO;ALMIRANTE BROWN 2257 PISO 2;MAR DEL PLATA;MAR DEL PLATA;4910972;-38.0060904;-57.5473598
834;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 8;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 58107-58146;-38.0061401;-57.54943722
839;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 9;JUZGADO;ALMIRANTE BROWN 2241;MAR DEL PLATA;MAR DEL PLATA;4910972;-38.0061401;-57.54943722
853;CONTENCIOSO ADMINISTRATIVO;JUZGADO DE PRIMERA INSTANCIA EN LO CONTENCIOSO ADMINISTRATIVO 1;JUZGADO;GASCON 1749;MAR DEL PLATA;MAR DEL PLATA;4934975 int: 130;-38.0101806;-57.54369552
856;CONTENCIOSO ADMINISTRATIVO;JUZGADO DE PRIMERA INSTANCIA EN LO CONTENCIOSO ADMINISTRATIVO 2;JUZGADO;GASCON 1749;MAR DEL PLATA;MAR DEL PLATA;4920859 int: 110/131;-38.0101806;-57.54369552
860;PENAL;JUZGADO DE RESPONSABILIDAD PENAL JUVENIL 1;JUZGADO;LA RIOJA 2130 PISO 3;MAR DEL PLATA;MAR DEL PLATA;4913072 int: 59702;-38.0008216;-57.55374192
864;PENAL;JUZGADO DE RESPONSABILIDAD PENAL JUVENIL 2;JUZGADO;LA RIOJA 2130 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4913072 int: 59703;-38.0008216;-57.55374192
959;PENAL;JUZGADO EN LO CORRECCIONAL 1;JUZGADO;ALMIRANTE BROWN 2046 PISO 7;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57316/ 57317;-38.0071257;-57.54752142
977;PENAL;JUZGADO EN LO CORRECCIONAL 2 ;JUZGADO;ALMIRANTE BROWN 2046 PISO 6;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57417/ 57305;-38.0071257;-57.54752142
984;PENAL;JUZGADO EN LO CORRECCIONAL 3;JUZGADO;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57290/ 57362/ 57289;-38.0071257;-57.54752142
992;PENAL;JUZGADO EN LO CORRECCIONAL 4;JUZGADO;ALMIRANTE BROWN 2046 PISO 7;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57334/57413;-38.0071257;-57.54752142
998;PENAL;JUZGADO EN LO CORRECCIONAL 5;JUZGADO;ALMIRANTE BROWN 2046 PISO 4;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57414/57283;-38.0071257;-57.54752142
1089;LABORAL;TRIBUNAL DEL TRABAJO 1;TRIBUNAL;GARAY 1768;MAR DEL PLATA;MAR DEL PLATA;4958121 int: 58513;-38.0124839;-57.54583732
1096;LABORAL;TRIBUNAL DEL TRABAJO 2;TRIBUNAL;GARAY 1768 PISO 2;MAR DEL PLATA;MAR DEL PLATA;4958121 int: 58613;-38.0124839;-57.54583732
1099;LABORAL;TRIBUNAL DEL TRABAJO 3;TRIBUNAL;GARAY 1768 PISO 3;MAR DEL PLATA;MAR DEL PLATA;4945697;-38.0124839;-57.54583732
1102;LABORAL;TRIBUNAL DEL TRABAJO 4;TRIBUNAL;SARMIENTO 2760;MAR DEL PLATA;MAR DEL PLATA;4510148;-38.013047;-57.543715
1119;PENAL;TRIBUNAL EN LO CRIMINAL 1;TRIBUNAL;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57310-57355;-38.0071257;-57.54752142
1132;PENAL;TRIBUNAL EN LO CRIMINAL 2;TRIBUNAL;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57306;-38.0071257;-57.54752142
1141;PENAL;TRIBUNAL EN LO CRIMINAL 3;TRIBUNAL;ALMIRANTE BROWN 2046 PISO 6;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57302-57271;-38.0071257;-57.54752142
1149;PENAL;TRIBUNAL EN LO CRIMINAL 4;TRIBUNAL;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4956666 int: 57359-57360;-38.0071257;-57.54752142
1215;PENAL;UNIDAD FISCAL DE COMPOSICI�N TEMPRANA DE CONFLICTOS PENALES;FISCALIA;LA RIOJA 2327;MAR DEL PLATA;MAR DEL PLATA;4953947;-38.0025202;-57.55525322
1216;PENAL;UNIDAD FISCAL DE EJECUCION PENAL;FISCALIA;OLAVARRIA 3350;MAR DEL PLATA;MAR DEL PLATA;4860980;-38.0201213;-57.54700622
1222;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO  13 - ROBOS CALIFICADOS;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 330/402/403;-38.0071257;-57.54752142
1223;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO - AUTORES IGNORADOS;FISCALIA;LA RIOJA 2327 PISO 4;MAR DEL PLATA;MAR DEL PLATA;4953947;-38.0025202;-57.55525322
1228;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO - ESTUPEFACIENTES;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 330/402/403;-38.0071257;-57.54752142
1232;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO - FLAGRANCIA;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 422/235/236/233/234/372/435;-38.0071257;-57.54752142
1238;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO - RESPONSABILIDAD JUVENIL;FISCALIA;9 DE JULIO 2717;MAR DEL PLATA;MAR DEL PLATA;4936569;-37.99632;-57.546012
1272;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 1;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 373/255/247/246;-38.0071257;-57.54752142
1292;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 10 - DELITOS ECONOMICOS CONTRA LA ADMINISTRACION PUBLICA;FISCALIA;RAWSON 1139;MAR DEL PLATA;MAR DEL PLATA;4513502;-38.0149051;-57.53886562
1301;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 11 - DELITOS CULPOSOS;FISCALIA;GASCON 910;MAR DEL PLATA;MAR DEL PLATA;4861348;-38.0145341;-57.53530052
1307;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 12 - USURPACIONES;FISCALIA;RAWSON 1139;MAR DEL PLATA;MAR DEL PLATA;4513502;-38.0149051;-57.53886562
1393;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 4;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 327/328/376/400;-38.0071257;-57.54752142
1411;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 5;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 398/329/377/401;-38.0071257;-57.54752142
1427;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 6;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 323/324/295/297;-38.0071257;-57.54752142
1441;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 7;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 321/322/320/374;-38.0071257;-57.54752142
1454;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 8;FISCALIA;ALMIRANTE BROWN 2046;MAR DEL PLATA;MAR DEL PLATA;4994700 int: 436/229/231;-38.0071257;-57.54752142
1487;PENAL;UNIDAD FUNCIONAL DE DEFENSA - FUERO RESPONSABILIDAD PENAL JUVENIL 1;DEFENSORIA;BUENOS AIRES 2504;MAR DEL PLATA;MAR DEL PLATA;4911671 int: 14;-38.0083739;-57.54725872
1493;PENAL;UNIDAD FUNCIONAL DE DEFENSA - FUERO RESPONSABILIDAD PENAL JUVENIL 2;DEFENSORIA;BUENOS AIRES 2504;MAR DEL PLATA;MAR DEL PLATA;4911671 int: 25;-38.0083739;-57.54725872
1495;PENAL;UNIDAD FUNCIONAL DE DEFENSA - FUERO RESPONSABILIDAD PENAL JUVENIL 3;DEFENSORIA;BUENOS AIRES 2504;MAR DEL PLATA;MAR DEL PLATA;4911671 int: 13;-38.0083739;-57.54725872
1496;PENAL;UNIDAD FUNCIONAL DE DEFENSA - FUERO RESPONSABILIDAD PENAL JUVENIL 4;DEFENSORIA;BUENOS AIRES 2504;MAR DEL PLATA;MAR DEL PLATA;4911671 int: 15;-38.0083739;-57.54725872
1512;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 1 - CIVIL;DEFENSORIA;SAN MARTIN 3421;MAR DEL PLATA;MAR DEL PLATA;4755215 int: 117/118/119/120;-37.9952573;-57.55544622
1520;PENAL;UNIDAD FUNCIONAL DE DEFENSA 1 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 299 - 298;-38.0071257;-57.54752142
1528;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 10 - PENAL;DEFENSORIA;GASCON 2099;MAR DEL PLATA;MAR DEL PLATA;4931659 int: 112/113;-38.0086765;-57.54660432
1561;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 2 - CIVIL;DEFENSORIA;SAN LUIS Y LAPRIDA;MAR DEL PLATA;MAR DEL PLATA;4915068;-38.0180575;-57.56345862
1569;PENAL;UNIDAD FUNCIONAL DE DEFENSA 2 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 293 - 405;-38.0071257;-57.54752142
1590;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 3 - CIVIL;DEFENSORIA;SAN MARTIN 3421;MAR DEL PLATA;MAR DEL PLATA;4755215 int: 129/135;-37.9952573;-57.55544622
1598;PENAL;UNIDAD FUNCIONAL DE DEFENSA 3 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 292;-38.0071257;-57.54752142
1606;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 4 - CIVIL;DEFENSORIA;SAN MARTIN 3421;MAR DEL PLATA;MAR DEL PLATA;4755215 int: 136/140;-37.9952573;-57.55544622
1613;PENAL;UNIDAD FUNCIONAL DE DEFENSA 4 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 291;-38.0071257;-57.54752142
1622;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 5 - CIVIL;DEFENSORIA;SAN MARTIN 3421;MAR DEL PLATA;MAR DEL PLATA;4755215 int: 141;-37.9952573;-57.55544622
1628;PENAL;UNIDAD FUNCIONAL DE DEFENSA 5 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 8;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 319;-38.0071257;-57.54752142
1635;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 6 - CIVIL;DEFENSORIA;SAN MARTIN 3421;MAR DEL PLATA;MAR DEL PLATA;4755215 int: 121;-37.9952573;-57.55544622
1639;PENAL;UNIDAD FUNCIONAL DE DEFENSA 6 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 8;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 318/392;-38.0071257;-57.54752142
1644;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 7 - CIVIL;DEFENSORIA;SAN MARTIN 3421;MAR DEL PLATA;MAR DEL PLATA;4755215 int: 127;-37.9952573;-57.55544622
1648;PENAL;UNIDAD FUNCIONAL DE DEFENSA 7 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 294/296;-38.0071257;-57.54752142
1651;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 8 - CIVIL;DEFENSORIA;ESPA�A 1712;MAR DEL PLATA;MAR DEL PLATA;4730656;-37.9949148;-57.55629682
1655;PENAL;UNIDAD FUNCIONAL DE DEFENSA 8 - PENAL;DEFENSORIA;ALMIRANTE BROWN 2046 PISO 5;MAR DEL PLATA;MAR DEL PLATA;4937257 int: 406/407;-38.0071257;-57.54752142
1662;PENAL;UNIDAD FUNCIONAL DE DEFENSA 9 - PENAL;DEFENSORIA;GASCON 2099;MAR DEL PLATA;MAR DEL PLATA;4931659 int: 114/115;-38.0086765;-57.54660432
708;PAZ;JUZGADO DE PAZ;JUZGADO;AVENIDA 23 N�1068;MIRAMAR;MAR DEL PLATA;423257;-38.2704621;-57.8394031
1219;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO;FISCALIA;CALLE 14 N� 37;MIRAMAR;MAR DEL PLATA;433975;-38.277138;-57.837959
58;PENAL;AYUDANTIA FISCAL - 25 DE MAYO;AYUDANTIA FISCAL;CALLE 27 1244;25 DE MAYO;MERCEDES;462148;-35.4324531;-60.17650162
629;PAZ;JUZGADO DE PAZ;JUZGADO;CALLE 9 N�1217;25 DE MAYO;MERCEDES;462780;-35.4288164;-60.17054672
59;PENAL;AYUDANTIA FISCAL - 9 DE JULIO;AYUDANTIA FISCAL;AV. MITRE 1857;9 DE JULIO;MERCEDES;428581;-35.4478604;-60.89070532
630;PAZ;JUZGADO DE PAZ;JUZGADO;HIPOLITO YRIGOYEN 854;9 DE JULIO;MERCEDES;422346;-35.444563;-60.882583
